# time in Gyr, position in kpc, velocity in km/s
#t x y z vx vy vz
0.00 -377.81 611.48 -284.58 73.63 -72.24 49.49
0.07 -372.46 606.25 -281.08 74.54 -74.88 50.51
0.14 -367.22 600.88 -277.49 74.10 -74.98 49.08
0.21 -361.78 595.42 -273.97 73.30 -76.56 50.41
0.29 -356.46 589.88 -270.49 73.08 -79.60 49.00
0.36 -351.24 584.12 -266.97 73.08 -81.76 46.97
0.43 -346.10 578.26 -263.58 70.82 -83.42 46.62
0.50 -341.24 572.22 -260.11 67.84 -84.66 46.64
0.57 -336.58 566.14 -256.60 65.19 -84.23 46.69
0.64 -331.90 560.14 -253.43 61.95 -83.81 45.29
0.71 -327.73 554.33 -250.38 56.93 -81.63 42.98
0.79 -323.78 548.49 -247.25 53.46 -79.97 41.78
0.86 -320.20 542.96 -244.36 50.12 -76.46 39.31
0.93 -316.73 537.63 -241.50 46.78 -73.38 40.80
1.00 -313.44 532.56 -238.48 46.85 -70.95 44.47
1.07 -310.33 527.67 -235.11 44.64 -65.79 47.07
1.14 -307.06 522.98 -231.59 45.64 -63.30 49.76
1.21 -303.81 518.47 -227.89 46.87 -61.33 53.02
1.29 -300.38 514.00 -223.89 47.21 -60.02 56.68
1.36 -296.75 509.68 -219.84 51.34 -59.91 58.27
1.43 -292.95 505.26 -215.52 53.78 -60.53 60.47
1.50 -288.91 500.84 -211.07 58.68 -61.63 61.28
1.57 -284.62 496.34 -206.56 60.78 -63.08 62.85
1.64 -280.16 491.73 -201.88 63.67 -65.26 66.28
1.71 -275.57 487.06 -197.14 67.59 -67.65 68.16
1.79 -270.58 482.13 -192.16 70.22 -67.98 68.88
1.86 -265.42 477.29 -187.35 74.35 -70.40 68.97
1.93 -260.03 472.20 -182.23 75.83 -69.99 70.48
2.00 -254.40 467.04 -177.28 78.80 -73.32 71.55
2.07 -248.72 461.66 -172.16 80.48 -77.45 73.44
2.14 -242.67 456.03 -167.03 83.67 -81.48 75.79
2.21 -236.62 450.23 -161.73 85.24 -82.50 74.38
2.29 -230.40 444.29 -156.39 87.61 -84.58 74.44
2.36 -224.03 438.16 -151.07 89.79 -87.72 74.04
2.43 -217.66 431.76 -145.74 88.79 -91.39 73.22
2.50 -211.21 425.16 -140.52 91.38 -95.48 74.78
2.57 -204.70 418.30 -135.19 93.12 -97.96 75.49
2.64 -198.14 411.26 -129.77 92.07 -99.08 76.33
2.71 -191.44 404.23 -124.49 94.13 -100.78 75.32
2.79 -184.65 396.96 -119.01 95.25 -103.18 77.82
2.86 -177.89 389.58 -113.46 97.90 -105.53 78.02
2.93 -170.87 381.94 -107.86 98.32 -108.36 78.95
3.00 -163.84 374.08 -102.19 99.86 -113.08 80.19
3.07 -157.17 366.25 -96.49 102.01 -114.99 81.66
3.14 -149.23 357.38 -90.32 103.76 -120.42 83.37
3.21 -142.03 348.70 -84.18 105.71 -123.93 83.73
3.29 -134.50 339.68 -78.12 109.12 -131.52 87.34
3.36 -126.74 330.05 -71.70 111.52 -136.69 89.21
3.43 -118.82 320.08 -65.30 114.19 -144.00 86.31
3.50 -110.55 309.44 -59.14 118.71 -155.59 84.89
3.57 -102.05 297.80 -52.96 119.26 -167.38 85.49
3.64 -93.46 285.35 -46.89 124.68 -181.43 82.10
3.71 -84.40 271.67 -41.12 126.43 -199.84 78.73
3.79 -75.34 256.38 -35.60 126.60 -227.31 70.92
3.86 -66.45 239.12 -30.97 121.57 -258.59 54.09
3.93 -58.45 219.16 -28.24 95.80 -296.86 14.21
4.00 -53.55 197.81 -29.47 40.93 -284.86 -51.16
4.07 -51.91 179.33 -33.99 13.14 -231.84 -69.90
4.14 -51.14 164.45 -38.67 15.49 -186.55 -60.13
4.21 -50.17 152.10 -42.17 23.58 -158.70 -42.59
4.29 -48.68 141.65 -44.78 26.16 -135.76 -26.04
4.36 -47.27 132.65 -46.21 23.76 -115.27 -14.69
4.43 -45.67 124.95 -47.04 21.38 -99.82 -4.43
4.50 -44.35 118.48 -47.28 21.06 -82.43 0.42
4.57 -43.08 113.03 -47.04 16.52 -67.46 5.31
4.64 -41.97 108.82 -46.67 15.95 -54.44 7.87
4.71 -40.83 105.36 -45.92 16.29 -43.16 11.13
4.79 -39.83 102.80 -45.05 14.21 -31.58 12.85
4.86 -38.73 100.91 -43.92 15.80 -20.40 14.30
4.93 -37.58 99.83 -42.77 17.51 -9.49 14.13
5.00 -36.17 99.41 -41.59 20.25 -1.66 17.22
5.07 -34.73 99.45 -40.00 21.97 6.85 20.67
5.14 -33.15 100.12 -38.24 24.88 15.11 25.34
5.21 -31.29 101.38 -36.20 27.49 21.19 31.52
5.29 -29.42 103.08 -33.76 27.53 30.15 34.61
5.36 -27.23 105.48 -31.10 31.79 37.96 39.88
5.43 -24.99 108.50 -27.99 33.21 49.07 45.14
5.50 -22.46 112.26 -24.63 35.53 57.28 51.62
5.57 -19.75 116.88 -20.72 40.67 71.24 58.09
5.64 -16.62 122.53 -16.35 46.13 88.26 66.46
5.71 -13.02 129.64 -11.33 58.40 109.99 78.97
5.79 -8.30 138.70 -5.09 77.55 144.97 98.51
5.86 -0.53 150.69 3.24 176.44 154.41 127.99
5.93 10.49 156.77 9.18 121.61 35.60 58.39
6.00 17.61 157.88 12.18 73.05 -13.18 36.46
6.07 21.83 156.37 13.98 28.70 -37.11 25.87
6.14 23.79 152.78 15.34 -8.94 -57.62 8.72
6.21 24.15 147.05 16.05 -41.69 -107.17 -15.71
6.29 24.77 141.25 15.97 38.45 -10.54 24.55
6.36 27.28 139.76 17.97 35.92 -4.02 21.07
6.43 29.53 138.30 20.04 28.63 -16.89 28.34
6.50 31.24 136.18 21.87 25.14 -25.77 32.69
6.57 30.72 134.37 23.61 23.64 -22.58 40.55
6.64 34.60 132.72 26.94 31.82 -26.64 40.29
6.71 36.99 131.14 29.44 39.80 -28.54 41.95
6.79 39.59 129.53 31.76 38.24 -34.32 35.53
6.86 42.12 127.40 34.04 38.14 -33.90 36.83
6.93 44.60 125.50 36.40 34.03 -37.27 35.52
7.00 47.14 123.24 38.43 36.54 -39.72 33.69
7.07 49.45 120.69 40.23 34.41 -41.20 24.17
7.14 52.07 118.25 42.00 36.41 -37.58 26.11
7.21 54.49 116.18 43.63 36.52 -32.76 23.98
7.29 56.97 114.18 45.28 38.02 -31.35 21.19
7.36 59.67 112.46 46.87 40.45 -27.11 21.23
7.43 62.25 110.70 48.57 39.72 -24.19 20.73
7.50 65.01 109.11 50.03 41.73 -23.73 22.79
7.57 67.45 107.50 51.54 40.14 -22.44 22.68
7.64 70.24 106.16 53.18 37.93 -20.58 19.04
7.71 72.78 104.59 54.67 35.10 -18.82 17.69
7.79 75.40 103.25 56.01 36.95 -15.05 17.31
7.86 78.12 101.99 57.52 36.16 -15.90 17.72
7.93 80.73 100.45 59.07 36.19 -17.04 15.41
8.00 83.38 99.13 60.72 35.91 -15.18 19.72
8.07 85.91 97.81 62.51 33.94 -15.66 21.44
8.14 88.12 96.58 64.33 32.48 -14.75 23.20
8.21 90.46 95.41 66.13 33.00 -14.86 24.28
8.29 92.74 94.12 68.19 33.47 -18.65 29.59
8.36 95.04 92.67 70.34 35.08 -19.31 33.77
8.43 97.41 91.16 72.27 35.79 -23.75 30.73
8.50 99.82 89.38 74.31 34.06 -27.32 31.61
8.57 102.48 87.41 76.40 34.93 -28.59 30.33
8.64 105.04 85.37 78.18 32.82 -31.97 25.99
8.71 107.56 83.18 80.00 29.44 -31.08 27.33
