# time in Gyr, position in kpc, velocity in km/s
#t x y z vx vy vz
8.79 109.78 81.32 81.95 30.38 -28.22 25.03
8.86 112.24 79.29 83.68 29.62 -28.83 22.68
8.93 114.28 77.31 85.32 29.86 -27.89 21.77
9.00 116.45 75.35 87.06 31.16 -27.32 19.06
9.07 118.50 73.34 88.61 29.46 -27.25 20.97
9.14 120.55 71.39 90.33 29.64 -26.33 21.65
9.21 122.54 69.40 91.91 28.70 -27.06 18.46
9.29 124.44 67.29 93.28 31.24 -27.14 19.61
9.36 126.46 65.45 94.69 30.42 -26.16 20.99
9.43 128.44 63.66 96.08 28.28 -24.01 20.26
9.50 130.38 62.20 97.40 26.79 -20.79 18.72
9.57 132.29 60.76 98.88 27.21 -15.69 22.65
9.64 134.43 59.78 100.39 30.41 -13.96 24.22
9.71 136.67 58.73 102.18 33.07 -12.76 26.84
9.79 139.06 57.84 104.13 35.84 -13.54 29.10
9.86 141.67 56.98 106.27 34.14 -16.76 30.89
9.93 144.04 55.81 108.24 32.20 -18.35 33.65
10.00 146.48 54.82 110.55 34.87 -18.81 32.57
10.07 148.97 53.50 112.68 33.42 -19.77 31.58
10.14 151.47 52.23 114.82 32.67 -19.99 31.07
10.21 154.09 50.97 116.80 35.25 -21.19 28.33
10.29 156.72 49.40 118.95 35.81 -21.73 28.67
10.36 159.48 47.80 121.19 36.94 -22.41 28.62
10.43 162.14 46.03 123.13 36.84 -25.18 28.16
10.50 164.84 44.05 125.53 35.39 -28.81 25.56
10.57 166.92 42.09 127.50 33.06 -28.67 19.89
10.64 169.24 40.11 129.32 28.97 -27.14 18.97
10.71 171.10 38.07 130.75 29.88 -24.92 16.42
10.79 173.21 36.50 132.13 26.72 -22.80 18.05
10.86 174.70 34.62 133.56 26.86 -20.26 17.63
10.93 176.31 32.98 134.83 25.55 -17.56 19.80
11.00 178.11 31.62 136.13 28.02 -15.80 23.07
11.07 179.95 30.34 137.62 30.88 -16.90 24.35
11.14 181.82 28.89 139.15 29.55 -18.62 25.80
11.21 183.93 27.46 140.69 29.03 -17.44 27.59
11.29 186.17 26.27 142.40 29.12 -16.57 25.72
11.36 188.46 25.07 144.10 30.62 -20.13 27.57
11.43 190.84 23.63 145.85 31.93 -21.90 28.82
