# time: Gyr
# x,y,z: kpc
# vx,vy,vz: km/s
# t x y z vx vy vz
  0.6800	-87.5076	 19.3855	-34.5705	 94.6550	213.5980	184.8310
  0.6900	-86.5209	 21.5640	-32.6739	 98.4200	212.7120	186.3143
  0.7000	-85.4956	 23.7327	-30.7624	102.2427	211.7054	187.7537
  0.7100	-84.4308	 25.8906	-28.8365	106.1186	210.5736	189.1437
  0.7200	-83.3263	 28.0362	-26.8966	110.0421	209.3123	190.4790
  0.7300	-82.1814	 30.1682	-24.9434	114.0075	207.9178	191.7538
  0.7400	-80.9958	 32.2853	-22.9775	118.0080	206.3866	192.9625
  0.7500	-79.7691	 34.3861	-20.9996	122.0364	204.7160	194.0993
  0.7600	-78.5012	 36.4690	-19.0105	126.0846	202.9037	195.1585
  0.7700	-77.1919	 38.5327	-17.0110	130.1441	200.9481	196.1346
  0.7800	-75.8411	 40.5757	-15.0020	134.2058	198.8485	197.0221
  0.7900	-74.4488	 42.5964	-12.9844	138.2600	196.6049	197.8157
  0.8000	-73.0151	 44.5935	-10.9591	142.2966	194.2181	198.5107
  0.8100	-71.5404	 46.5655	 -8.9273	146.3053	191.6902	199.1024
  0.8200	-70.0248	 48.5110	 -6.8900	150.2753	189.0239	199.5868
  0.8300	-68.4690	 50.4285	 -4.8483	154.1960	186.2230	199.9603
  0.8400	-66.8734	 52.3167	 -2.8034	158.0565	183.2923	200.2195
  0.8500	-65.2387	 54.1743	 -0.7565	161.8461	180.2376	200.3590
  0.8600	-63.5657	 56.0002	  1.2911	165.5535	177.0664	200.3324
  0.8700	-61.8553	 57.7930	  3.3376	169.1660	173.7888	200.1597
  0.8800	-60.1085	 59.5519	  5.3817	172.6740	170.4137	199.8672
  0.8900	-58.3264	 61.2758	  7.4223	176.0689	166.9502	199.4582
  0.9000	-56.5102	 62.9640	  9.4581	179.3432	163.4078	198.9352
  0.9100	-54.6613	 64.6155	 11.4879	182.4902	159.7963	198.3010
  0.9200	-52.7808	 66.2299	 13.5108	185.5042	156.1259	197.5590
  0.9300	-50.8703	 67.8065	 15.5255	188.3803	152.4067	196.7132
  0.9400	-48.9310	 69.3449	 17.5311	191.1147	148.6488	195.7682
  0.9500	-46.9646	 70.8447	 19.5265	193.7048	144.8624	194.7288
  0.9600	-44.9725	 72.3058	 21.5109	196.1487	141.0571	193.6002
  0.9700	-42.9561	 73.7279	 23.4833	198.4456	137.2425	192.3882
  0.9800	-40.9170	 75.1110	 25.4429	200.5954	133.4274	191.0984
  0.9900	-38.8567	 76.4552	 27.3890	202.5991	129.6205	189.7366
  1.0000	-36.7766	 77.7605	 29.3208	204.4582	125.8297	188.3089
  1.0100	-34.6783	 79.0273	 31.2377	206.1751	122.0625	186.8211
  1.0200	-32.5631	 80.2557	 33.1391	207.7527	118.3256	185.2791
  1.0300	-30.4325	 81.4460	 35.0246	209.1943	114.6252	183.6886
  1.0400	-28.2878	 82.5988	 36.8935	210.5038	110.9669	182.0552
  1.0500	-26.1304	 83.7144	 38.7456	211.6854	107.3556	180.3843
  1.0600	-23.9616	 84.7934	 40.5804	212.7436	103.7957	178.6809
  1.0700	-21.7826	 85.8363	 42.3977	213.6832	100.2909	176.9500
  1.0800	-19.5945	 86.8437	 44.1972	214.5090	 96.8445	175.1961
  1.0900	-17.3986	 87.8161	 45.9786	215.2261	 93.4591	173.4237
  1.1000	-15.1958	 88.7543	 47.7419	215.8393	 90.1371	171.6367
  1.1100	-12.9873	 89.6589	 49.4868	216.3538	 86.8800	169.8389
  1.1200	-10.7740	 90.5305	 51.2133	216.7746	 83.6894	168.0339
  1.1300	 -8.5569	 91.3698	 52.9214	217.1065	 80.5661	166.2248
  1.1400	 -6.3368	 92.1776	 54.6110	217.3544	 77.5109	164.4146
  1.1500	 -4.1146	 92.9545	 56.2820	217.5230	 74.5239	162.6060
  1.1600	 -1.8910	 93.7012	 57.9346	217.6169	 71.6054	160.8014
  1.1700	  0.3332	 94.4184	 59.5688	217.6405	 68.7550	159.0030
  1.1800	  2.5572	 95.1069	 61.1847	217.5981	 65.9725	157.2129
  1.1900	  4.7805	 95.7673	 62.7823	217.4937	 63.2572	155.4327
  1.2000	  7.0025	 96.4002	 64.3618	217.3313	 60.6083	153.6641
  1.2100	  9.2225	 97.0064	 65.9233	217.1146	 58.0250	151.9086
  1.2200	 11.4401	 97.5866	 67.4669	216.8471	 55.5063	150.1672
  1.2300	 13.6546	 98.1413	 68.9928	216.5323	 53.0511	148.4413
  1.2400	 15.8658	 98.6713	 70.5011	216.1734	 50.6582	146.7315
  1.2500	 18.0730	 99.1771	 71.9921	215.7734	 48.3263	145.0389
  1.2600	 20.2760	 99.6594	 73.4658	215.3352	 46.0543	143.3641
  1.2700	 22.4743	100.1187	 74.9225	214.8615	 43.8406	141.7077
  1.2800	 24.6676	100.5558	 76.3624	214.3549	 41.6841	140.0701
  1.2900	 26.8555	100.9710	 77.7857	213.8178	 39.5832	138.4518
  1.3000	 29.0379	101.3651	 79.1925	213.2524	 37.5367	136.8531
  1.3100	 31.2143	101.7385	 80.5830	212.6610	 35.5430	135.2742
  1.3200	 33.3845	102.0919	 81.9576	212.0455	 33.6010	133.7153
  1.3300	 35.5484	102.4256	 83.3163	211.4078	 31.7090	132.1766
  1.3400	 37.7056	102.7403	 84.6594	210.7497	 29.8658	130.6581
  1.3500	 39.8560	103.0363	 85.9870	210.0729	 28.0701	129.1597
  1.3600	 41.9994	103.3142	 87.2995	209.3788	 26.3205	127.6816
  1.3700	 44.1356	103.5745	 88.5969	208.6691	 24.6156	126.2236
  1.3800	 46.2645	103.8176	 89.8796	207.9449	 22.9543	124.7856
  1.3900	 48.3860	104.0439	 91.1477	207.2076	 21.3352	123.3675
  1.4000	 50.4998	104.2539	 92.4013	206.4585	 19.7572	121.9692
  1.4100	 52.6059	104.4480	 93.6408	205.6986	 18.2189	120.5905
  1.4200	 54.7042	104.6265	 94.8663	204.9289	 16.7194	119.2312
  1.4300	 56.7946	104.7899	 96.0780	204.1504	 15.2573	117.8911
  1.4400	 58.8770	104.9385	 97.2761	203.3641	 13.8316	116.5699
  1.4500	 60.9513	105.0728	 98.4608	202.5708	 12.4413	115.2675
  1.4600	 63.0175	105.1930	 99.6323	201.7713	 11.0852	113.9835
  1.4700	 65.0755	105.2996	100.7907	200.9664	  9.7624	112.7178
  1.4800	 67.1253	105.3927	101.9363	200.1566	  8.4719	111.4700
  1.4900	 69.1667	105.4729	103.0692	199.3427	  7.2127	110.2399
  1.5000	 71.1998	105.5403	104.1897	198.5253	  5.9839	109.0273
  1.5100	 73.2245	105.5953	105.2978	197.7049	  4.7845	107.8318
  1.5200	 75.2409	105.6383	106.3939	196.8821	  3.6138	106.6532
  1.5300	 77.2488	105.6694	107.4779	196.0573	  2.4709	105.4912
  1.5400	 79.2483	105.6889	108.5502	195.2309	  1.3549	104.3455
  1.5500	 81.2393	105.6972	109.6108	194.4035	  0.2651	103.2158
  1.5600	 83.2219	105.6944	110.6600	193.5754	 -0.7994	102.1019
  1.5700	 85.1960	105.6810	111.6979	192.7470	 -1.8391	101.0034
  1.5800	 87.1616	105.6570	112.7246	191.9185	 -2.8549	 99.9202
  1.5900	 89.1188	105.6227	113.7403	191.0904	 -3.8475	 98.8519
  1.6000	 91.0675	105.5785	114.7452	190.2629	 -4.8174	 97.7982
  1.6100	 93.0078	105.5244	115.7394	189.4362	 -5.7654	 96.7590
  1.6200	 94.9396	105.4607	116.7230	188.6107	 -6.6921	 95.7338
  1.6300	 96.8630	105.3877	117.6962	187.7866	 -7.5981	 94.7226
  1.6400	 98.7780	105.3055	118.6592	186.9640	 -8.4840	 93.7249
  1.6500	100.6846	105.2144	119.6121	186.1432	 -9.3503	 92.7406
  1.6600	102.5828	105.1145	120.5549	185.3244	-10.1976	 91.7695
  1.6700	104.4726	105.0060	121.4879	184.5077	-11.0264	 90.8111
  1.6800	106.3541	104.8892	122.4111	183.6932	-11.8372	 89.8654
  1.6900	108.2273	104.7642	123.3248	182.8813	-12.6305	 88.9321
  1.7000	110.0922	104.6311	124.2290	182.0718	-13.4069	 88.0109
  1.7100	111.9489	104.4902	125.1238	181.2651	-14.1667	 87.1016
  1.7200	113.7973	104.3416	126.0094	180.4611	-14.9104	 86.2041
  1.7300	115.6375	104.1855	126.8859	179.6601	-15.6384	 85.3180
  1.7400	117.4696	104.0221	127.7534	178.8620	-16.3512	 84.4431
  1.7500	119.2935	103.8514	128.6119	178.0671	-17.0492	 83.5793
  1.7600	121.1093	103.6737	129.4618	177.2752	-17.7328	 82.7263
  1.7700	122.9170	103.4890	130.3029	176.4866	-18.4022	 81.8840
