# time in Gyr, position in kpc, velocity in km/s
#t x y z vx vy vz
0.04 -1.07 2.51 -1.47 -3.29 2.82 -1.07
0.09 -1.32 2.41 -1.49 -5.33 5.44 -1.16
0.13 -1.81 3.09 -1.54 -5.17 4.73 -1.22
0.17 -1.78 2.90 -1.60 -7.99 8.20 -0.03
0.21 -2.07 3.26 -1.60 -3.97 7.55 0.10
0.26 -2.19 3.58 -1.61 -4.68 7.95 -0.33
0.30 -2.40 3.88 -1.60 -4.95 7.73 0.83
0.34 -2.53 4.19 -1.58 -5.52 8.32 0.51
0.39 -2.74 4.59 -1.58 -6.89 7.25 -0.67
0.43 -2.99 5.01 -1.64 -5.56 10.05 -2.03
0.47 -3.21 5.39 -1.74 -5.11 8.40 -3.34
